stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Durchschnittstemperatur;Sonnenscheindauer (min);Tiefsttemperatur;Maximaltemperatur;Relative Luftfeuchtigkeit (%)
ENG;18640101;-;-;-;887.8;0;-2.9;-;-;-;-
ENG;18640102;-;-;-;895.1;12.8;-12.3;-;-;-;-
ENG;18640103;-;-;-;897.3;1.7;-17.4;-;-;-;-
ENG;18640104;-;-;-;898.5;0;-18.3;-;-;-;-
ENG;18640105;-;-;-;900.6;0;-12.4;-;-;-;-
ENG;18640106;-;-;-;900.7;0;-11.1;-;-;-;-
ENG;18640107;-;-;-;899.5;0;-7.7;-;-;-;-
ENG;18640108;-;-;-;900.7;0;-7;-;-;-;-
ENG;18640109;-;-;-;900.6;0;-5.8;-;-;-;-
ENG;18640110;-;-;-;901.7;0;-5.7;-;-;-;-
ENG;18640111;-;-;-;903.2;0;-10.4;-;-;-;-
ENG;18640112;-;-;-;906.3;0;-5;-;-;-;-
ENG;18640113;-;-;-;905.7;0;-5;-;-;-;-
ENG;18640114;-;-;-;903.7;0;-5.8;-;-;-;-
ENG;18640115;-;-;-;904.5;0;-7.9;-;-;-;-
ENG;18640116;-;-;-;905.3;0;-15;-;-;-;-
ENG;18640117;-;-;-;904.4;0;-7.9;-;-;-;-
ENG;18640118;-;-;-;904.9;0;-8.8;-;-;-;-
ENG;18640119;-;-;-;909.4;0;-8.1;-;-;-;-
ENG;18640120;-;-;-;910.9;0;-6.4;-;-;-;-
ENG;18640121;-;-;-;906.2;0;-0.8;-;-;-;-
ENG;18640122;-;-;-;907.5;0;-2.4;-;-;-;-
ENG;18640123;-;-;-;907.3;0;0.3;-;-;-;-
ENG;18640124;-;-;-;905.9;0;4.6;-;-;-;-
ENG;18640125;-;-;-;909.9;10.2;0.6;-;-;-;-
ENG;18640126;-;-;-;909.6;0;-2.3;-;-;-;-
ENG;18640127;-;-;-;907.9;0;-0.5;-;-;-;-
ENG;18640128;-;-;-;900.3;0;1;-;-;-;-
ENG;18640129;-;-;-;899.6;18.2;-3.2;-;-;-;-
ENG;18640130;-;-;-;906.7;6.3;-10.5;-;-;-;-
ENG;18640131;-;-;-;905.1;0;-12.5;-;-;-;-
ENG;18640201;-;-;-;908.6;0;-6.5;-;-;-;-
ENG;18640202;-;-;-;909;0;-4.7;-;-;-;-
ENG;18640203;-;-;-;906.9;0;-4;-;-;-;-
ENG;18640204;-;-;-;899.7;0;-3.1;-;-;-;-
ENG;18640205;-;-;-;894.9;8.9;-5.7;-;-;-;-
ENG;18640206;-;-;-;887.5;2.8;-7.8;-;-;-;-
ENG;18640207;-;-;-;887.1;2.5;-7.1;-;-;-;-
ENG;18640208;-;-;-;884.8;6.2;-11.2;-;-;-;-
ENG;18640209;-;-;-;883.1;0;-13.5;-;-;-;-
ENG;18640210;-;-;-;881;0;-10.5;-;-;-;-
ENG;18640211;-;-;-;885.3;2.8;-9.3;-;-;-;-
ENG;18640212;-;-;-;897.7;1;-4.9;-;-;-;-
ENG;18640213;-;-;-;906.2;5.5;1.9;-;-;-;-
ENG;18640214;-;-;-;910.4;0;0.3;-;-;-;-
ENG;18640215;-;-;-;905.3;0;3.5;-;-;-;-
ENG;18640216;-;-;-;898.9;0;4.6;-;-;-;-
ENG;18640217;-;-;-;889.4;22;-2;-;-;-;-
ENG;18640218;-;-;-;891.3;12.3;-5.3;-;-;-;-
ENG;18640219;-;-;-;891.3;4.9;-12.2;-;-;-;-
ENG;18640220;-;-;-;885.7;0;-7.1;-;-;-;-
ENG;18640221;-;-;-;877.6;2.2;-2.2;-;-;-;-
ENG;18640222;-;-;-;891.2;0;-1.7;-;-;-;-
ENG;18640223;-;-;-;891;0;1.7;-;-;-;-
ENG;18640224;-;-;-;893.9;0;1.6;-;-;-;-
ENG;18640225;-;-;-;894.6;0;0.9;-;-;-;-
ENG;18640226;-;-;-;894.9;0;0.9;-;-;-;-
ENG;18640227;-;-;-;892.9;0;1;-;-;-;-
ENG;18640228;-;-;-;890.8;0;2.2;-;-;-;-
ENG;18640229;-;-;-;887;0;0.3;-;-;-;-
ENG;18640301;-;-;-;896.6;11.2;-0.8;-;-;-;-
ENG;18640302;-;-;-;893.3;0;-0.1;-;-;-;-
ENG;18640303;-;-;-;894.1;0;2.7;-;-;-;-
ENG;18640304;-;-;-;892.4;0.3;4.4;-;-;-;-
ENG;18640305;-;-;-;883.8;0;8.4;-;-;-;-
ENG;18640306;-;-;-;884.9;0;4.6;-;-;-;-
ENG;18640307;-;-;-;888.3;1.4;6.5;-;-;-;-
ENG;18640308;-;-;-;886.4;0;6.7;-;-;-;-
ENG;18640309;-;-;-;882.3;0;6.1;-;-;-;-
ENG;18640310;-;-;-;894.3;12.6;0.5;-;-;-;-
ENG;18640311;-;-;-;901.6;1.1;-2.7;-;-;-;-
ENG;18640312;-;-;-;904.4;2.5;1.1;-;-;-;-
ENG;18640313;-;-;-;908.6;0.4;-1.7;-;-;-;-
ENG;18640314;-;-;-;905.7;0;-0.3;-;-;-;-
ENG;18640315;-;-;-;899.7;0;3.4;-;-;-;-
ENG;18640316;-;-;-;897.7;0;3.8;-;-;-;-
ENG;18640317;-;-;-;898.6;0.2;-1.3;-;-;-;-
ENG;18640318;-;-;-;893.5;0;0.5;-;-;-;-
ENG;18640319;-;-;-;889.8;0;2;-;-;-;-
ENG;18640320;-;-;-;887.6;0;2.8;-;-;-;-
ENG;18640321;-;-;-;883.7;0;4.6;-;-;-;-
ENG;18640322;-;-;-;884.1;5.5;4.8;-;-;-;-
ENG;18640323;-;-;-;887.4;9;1.4;-;-;-;-
ENG;18640324;-;-;-;891.6;4.3;-0.5;-;-;-;-
ENG;18640325;-;-;-;890;0;1.8;-;-;-;-
ENG;18640326;-;-;-;883.8;0;1.6;-;-;-;-
ENG;18640327;-;-;-;875.6;1.7;2.8;-;-;-;-
ENG;18640328;-;-;-;877.3;7.1;-1.7;-;-;-;-
ENG;18640329;-;-;-;872.4;3;-3.5;-;-;-;-
ENG;18640330;-;-;-;883.3;2.9;-1.7;-;-;-;-
ENG;18640331;-;-;-;895.8;1;-0.5;-;-;-;-
ENG;18640401;-;-;-;897.1;0;4.5;-;-;-;-
ENG;18640402;-;-;-;895.4;13.3;-0.4;-;-;-;-
ENG;18640403;-;-;-;899.6;10.6;0.4;-;-;-;-
ENG;18640404;-;-;-;899;1.5;2.8;-;-;-;-
ENG;18640405;-;-;-;899.9;55.4;-0.4;-;-;-;-
ENG;18640406;-;-;-;901.1;9;-0.6;-;-;-;-
ENG;18640407;-;-;-;900.5;0;-0.6;-;-;-;-
ENG;18640408;-;-;-;902.1;0;-3.9;-;-;-;-
ENG;18640409;-;-;-;899.7;0;-1;-;-;-;-
ENG;18640410;-;-;-;897.1;0;1.9;-;-;-;-
ENG;18640411;-;-;-;897;0;4;-;-;-;-
ENG;18640412;-;-;-;897.5;0;4.1;-;-;-;-
ENG;18640413;-;-;-;896.5;0;6.4;-;-;-;-
ENG;18640414;-;-;-;893.7;0;4.1;-;-;-;-
ENG;18640415;-;-;-;893;0;6;-;-;-;-
ENG;18640416;-;-;-;892.5;5.9;3;-;-;-;-
ENG;18640417;-;-;-;895.5;36.8;1.8;-;-;-;-
ENG;18640418;-;-;-;902.2;4.2;1.8;-;-;-;-
ENG;18640419;-;-;-;901.5;0;5.3;-;-;-;-
ENG;18640420;-;-;-;899.1;0;5.8;-;-;-;-
ENG;18640421;-;-;-;895.9;0;5.6;-;-;-;-
ENG;18640422;-;-;-;899.4;0;3.3;-;-;-;-
ENG;18640423;-;-;-;903.7;0;5.8;-;-;-;-
ENG;18640424;-;-;-;902.4;0;8;-;-;-;-
ENG;18640425;-;-;-;903.2;0;9.3;-;-;-;-
ENG;18640426;-;-;-;903.3;0;11.1;-;-;-;-
ENG;18640427;-;-;-;902.7;0;10.3;-;-;-;-
ENG;18640428;-;-;-;899.3;4.7;8.5;-;-;-;-
ENG;18640429;-;-;-;896.5;13;4.7;-;-;-;-
ENG;18640430;-;-;-;900.2;11.4;5.8;-;-;-;-
ENG;18640501;-;-;-;902.5;0.7;5.4;-;-;-;-
ENG;18640502;-;-;-;898.7;0;5.7;-;-;-;-
ENG;18640503;-;-;-;890.7;67.4;6.8;-;-;-;-
ENG;18640504;-;-;-;895.5;32;3.2;-;-;-;-
ENG;18640505;-;-;-;898.1;22.1;3.9;-;-;-;-
ENG;18640506;-;-;-;899.4;8.1;8;-;-;-;-
ENG;18640507;-;-;-;896.2;0;11.4;-;-;-;-
ENG;18640508;-;-;-;890.7;0;14.3;-;-;-;-
ENG;18640509;-;-;-;891.1;1.8;13.8;-;-;-;-
ENG;18640510;-;-;-;895.1;7.6;10.1;-;-;-;-
ENG;18640511;-;-;-;895;6.6;10.4;-;-;-;-
ENG;18640512;-;-;-;891.4;0.1;9.2;-;-;-;-
ENG;18640513;-;-;-;896.8;2.7;8.5;-;-;-;-
ENG;18640514;-;-;-;900.9;45.5;8.5;-;-;-;-
ENG;18640515;-;-;-;901.3;5;10.4;-;-;-;-
ENG;18640516;-;-;-;902.1;0.2;12.2;-;-;-;-
ENG;18640517;-;-;-;904.3;0;13.8;-;-;-;-
ENG;18640518;-;-;-;905.2;0;14.4;-;-;-;-
ENG;18640519;-;-;-;903.6;0;14.6;-;-;-;-
ENG;18640520;-;-;-;901.6;0;12.9;-;-;-;-
ENG;18640521;-;-;-;896.2;0;13.1;-;-;-;-
ENG;18640522;-;-;-;897.9;25.9;10.6;-;-;-;-
ENG;18640523;-;-;-;897.4;1.5;11.2;-;-;-;-
ENG;18640524;-;-;-;900.6;16.4;5.7;-;-;-;-
ENG;18640525;-;-;-;897.7;0;8.6;-;-;-;-
ENG;18640526;-;-;-;892.2;0;8.2;-;-;-;-
ENG;18640527;-;-;-;894.2;6;4.3;-;-;-;-
ENG;18640528;-;-;-;897.4;0;7.8;-;-;-;-
ENG;18640529;-;-;-;898.2;0;10.3;-;-;-;-
ENG;18640530;-;-;-;898.6;1.5;10;-;-;-;-
ENG;18640531;-;-;-;896.6;0;14.6;-;-;-;-
ENG;18640601;-;-;-;896;0.3;15.1;-;-;-;-
ENG;18640602;-;-;-;893.2;0;12.9;-;-;-;-
ENG;18640603;-;-;-;897.7;11.3;11.6;-;-;-;-
ENG;18640604;-;-;-;899;7.1;13.1;-;-;-;-
ENG;18640605;-;-;-;900.9;0.1;12.7;-;-;-;-
ENG;18640606;-;-;-;902;4.4;14.1;-;-;-;-
ENG;18640607;-;-;-;896.6;2.2;14.4;-;-;-;-
ENG;18640608;-;-;-;897.6;6.3;11.1;-;-;-;-
ENG;18640609;-;-;-;895.6;2.9;11.2;-;-;-;-
ENG;18640610;-;-;-;894;40.8;6.2;-;-;-;-
ENG;18640611;-;-;-;898.8;57.2;8.9;-;-;-;-
ENG;18640612;-;-;-;894.4;0.3;11.6;-;-;-;-
ENG;18640613;-;-;-;893.5;0;14.5;-;-;-;-
ENG;18640614;-;-;-;891.4;0;13.7;-;-;-;-
ENG;18640615;-;-;-;894.5;5.4;9.5;-;-;-;-
ENG;18640616;-;-;-;899.9;7.9;10.4;-;-;-;-
ENG;18640617;-;-;-;906.3;35.3;9.4;-;-;-;-
ENG;18640618;-;-;-;906.8;0;13.4;-;-;-;-
ENG;18640619;-;-;-;908;0.8;10.9;-;-;-;-
ENG;18640620;-;-;-;908.8;2.1;11.2;-;-;-;-
ENG;18640621;-;-;-;906.2;0;13.5;-;-;-;-
ENG;18640622;-;-;-;906.2;0;15.3;-;-;-;-
ENG;18640623;-;-;-;904.4;0;17;-;-;-;-
ENG;18640624;-;-;-;907.2;22.1;12;-;-;-;-
ENG;18640625;-;-;-;906.4;0;13.8;-;-;-;-
ENG;18640626;-;-;-;900.4;0;13.6;-;-;-;-
ENG;18640627;-;-;-;897.5;21;7.7;-;-;-;-
ENG;18640628;-;-;-;903.5;37;5.2;-;-;-;-
ENG;18640629;-;-;-;904.6;3.7;9.4;-;-;-;-
ENG;18640630;-;-;-;899.9;0;11.6;-;-;-;-
ENG;18640701;-;-;-;898.4;30;10.8;-;-;-;-
ENG;18640702;-;-;-;898.7;0;11.1;-;-;-;-
ENG;18640703;-;-;-;896.2;0;14.9;-;-;-;-
ENG;18640704;-;-;-;901.3;50.1;9.7;-;-;-;-
ENG;18640705;-;-;-;902.4;0;12;-;-;-;-
ENG;18640706;-;-;-;900.6;0;12.9;-;-;-;-
ENG;18640707;-;-;-;901.3;0;10.1;-;-;-;-
ENG;18640708;-;-;-;901.6;0;11.3;-;-;-;-
ENG;18640709;-;-;-;898.4;0;13.4;-;-;-;-
ENG;18640710;-;-;-;899;0;13;-;-;-;-
ENG;18640711;-;-;-;903.5;1.6;16.5;-;-;-;-
ENG;18640712;-;-;-;901.2;2.6;18;-;-;-;-
ENG;18640713;-;-;-;896.5;19.3;13.5;-;-;-;-
ENG;18640714;-;-;-;900.9;24.1;13;-;-;-;-
ENG;18640715;-;-;-;902.6;0.9;14.1;-;-;-;-
ENG;18640716;-;-;-;903.7;0;15.8;-;-;-;-
ENG;18640717;-;-;-;903.6;7.2;15.7;-;-;-;-
ENG;18640718;-;-;-;900.7;25.7;12.4;-;-;-;-
ENG;18640719;-;-;-;901.4;15;12.5;-;-;-;-
ENG;18640720;-;-;-;903.7;3.9;13.1;-;-;-;-
ENG;18640721;-;-;-;900.9;0;15.3;-;-;-;-
ENG;18640722;-;-;-;902.2;2.3;13.7;-;-;-;-
ENG;18640723;-;-;-;903.5;2.9;13.6;-;-;-;-
ENG;18640724;-;-;-;902.1;0;15.1;-;-;-;-
ENG;18640725;-;-;-;899.2;0.4;16.2;-;-;-;-
ENG;18640726;-;-;-;899.1;33.7;14.1;-;-;-;-
ENG;18640727;-;-;-;901.1;10.3;14.7;-;-;-;-
ENG;18640728;-;-;-;900.6;0;15.6;-;-;-;-
ENG;18640729;-;-;-;904.2;30.3;15.1;-;-;-;-
ENG;18640730;-;-;-;908.4;0;17;-;-;-;-
ENG;18640731;-;-;-;909.2;0;16.6;-;-;-;-
ENG;18640801;-;-;-;905.5;0;18.8;-;-;-;-
ENG;18640802;-;-;-;902.4;7.9;14.9;-;-;-;-
ENG;18640803;-;-;-;902.6;0;13.4;-;-;-;-
ENG;18640804;-;-;-;903.7;0;15.4;-;-;-;-
ENG;18640805;-;-;-;907;0;16.9;-;-;-;-
ENG;18640806;-;-;-;904;0;17.6;-;-;-;-
ENG;18640807;-;-;-;901.6;0;17.5;-;-;-;-
ENG;18640808;-;-;-;901.5;0;16.9;-;-;-;-
ENG;18640809;-;-;-;901.2;0;17.8;-;-;-;-
ENG;18640810;-;-;-;900.5;8.3;11.6;-;-;-;-
ENG;18640811;-;-;-;905;18.5;5.2;-;-;-;-
ENG;18640812;-;-;-;908;26.6;7.9;-;-;-;-
ENG;18640813;-;-;-;906.3;0;10.2;-;-;-;-
ENG;18640814;-;-;-;906.5;0;8.4;-;-;-;-
ENG;18640815;-;-;-;905;0;10.5;-;-;-;-
ENG;18640816;-;-;-;903.3;0;13.1;-;-;-;-
ENG;18640817;-;-;-;899.8;0;15.3;-;-;-;-
ENG;18640818;-;-;-;896.1;0;13.4;-;-;-;-
ENG;18640819;-;-;-;892;11.1;14.2;-;-;-;-
ENG;18640820;-;-;-;893.4;17;14;-;-;-;-
ENG;18640821;-;-;-;900.2;14.2;13.8;-;-;-;-
ENG;18640822;-;-;-;898;0;19.2;-;-;-;-
ENG;18640823;-;-;-;891.5;1;17;-;-;-;-
ENG;18640824;-;-;-;898.1;13.7;7.6;-;-;-;-
ENG;18640825;-;-;-;905.7;5;7.1;-;-;-;-
ENG;18640826;-;-;-;904.5;0;6.9;-;-;-;-
ENG;18640827;-;-;-;906.3;9.1;6.2;-;-;-;-
ENG;18640828;-;-;-;906.1;1.1;6.3;-;-;-;-
ENG;18640829;-;-;-;905.1;0;8.7;-;-;-;-
ENG;18640830;-;-;-;905;0;11.8;-;-;-;-
ENG;18640831;-;-;-;905.5;0;13.8;-;-;-;-
ENG;18640901;-;-;-;905.1;0.3;14.8;-;-;-;-
ENG;18640902;-;-;-;901.3;11.6;11.9;-;-;-;-
ENG;18640903;-;-;-;897.1;22.7;10.8;-;-;-;-
ENG;18640904;-;-;-;896.9;7.6;9.1;-;-;-;-
ENG;18640905;-;-;-;904.8;7.6;11.3;-;-;-;-
ENG;18640906;-;-;-;906.5;2.3;12;-;-;-;-
ENG;18640907;-;-;-;906.2;0;14.3;-;-;-;-
ENG;18640908;-;-;-;906.7;0;14;-;-;-;-
ENG;18640909;-;-;-;906.6;0;14.1;-;-;-;-
ENG;18640910;-;-;-;903.7;0;15.2;-;-;-;-
ENG;18640911;-;-;-;899.6;0;12.4;-;-;-;-
ENG;18640912;-;-;-;901.3;41.1;6.3;-;-;-;-
ENG;18640913;-;-;-;902.1;4.3;6.7;-;-;-;-
ENG;18640914;-;-;-;900.2;0;6.7;-;-;-;-
ENG;18640915;-;-;-;897.5;0;10.5;-;-;-;-
ENG;18640916;-;-;-;894.3;0;14.5;-;-;-;-
ENG;18640917;-;-;-;893.5;0;15.4;-;-;-;-
ENG;18640918;-;-;-;896.7;2;10.3;-;-;-;-
ENG;18640919;-;-;-;897.7;10.8;7.4;-;-;-;-
ENG;18640920;-;-;-;898.7;19.6;6.3;-;-;-;-
ENG;18640921;-;-;-;900;0.4;6.4;-;-;-;-
ENG;18640922;-;-;-;900.5;0;8.6;-;-;-;-
ENG;18640923;-;-;-;904.8;1.9;9.2;-;-;-;-
ENG;18640924;-;-;-;906.9;0;8.3;-;-;-;-
ENG;18640925;-;-;-;908.9;0;9.9;-;-;-;-
ENG;18640926;-;-;-;908.5;0;9.1;-;-;-;-
ENG;18640927;-;-;-;906.7;0;6.3;-;-;-;-
ENG;18640928;-;-;-;906.9;0;6.4;-;-;-;-
ENG;18640929;-;-;-;903;0;9.3;-;-;-;-
ENG;18640930;-;-;-;898.7;0;8;-;-;-;-
ENG;18641001;-;-;-;897.2;0.5;7.4;-;-;-;-
ENG;18641002;-;-;-;898.9;0;4.9;-;-;-;-
ENG;18641003;-;-;-;900.1;0.7;2.4;-;-;-;-
ENG;18641004;-;-;-;897.8;0;1.1;-;-;-;-
ENG;18641005;-;-;-;896.9;0;2;-;-;-;-
ENG;18641006;-;-;-;898.2;0.1;1.5;-;-;-;-
ENG;18641007;-;-;-;901.6;0;1.8;-;-;-;-
ENG;18641008;-;-;-;900.2;0.6;0.2;-;-;-;-
ENG;18641009;-;-;-;897.4;0;1.8;-;-;-;-
ENG;18641010;-;-;-;897.9;0;1.8;-;-;-;-
ENG;18641011;-;-;-;900.8;0;2.7;-;-;-;-
ENG;18641012;-;-;-;900.7;0;3.8;-;-;-;-
ENG;18641013;-;-;-;898.6;0.2;5.3;-;-;-;-
ENG;18641014;-;-;-;897.2;7.6;3.5;-;-;-;-
ENG;18641015;-;-;-;897.9;2.3;1.8;-;-;-;-
ENG;18641016;-;-;-;898.2;1.2;0.9;-;-;-;-
ENG;18641017;-;-;-;897.3;0;3.9;-;-;-;-
ENG;18641018;-;-;-;897.9;0;5.6;-;-;-;-
ENG;18641019;-;-;-;890.9;0;13.9;-;-;-;-
ENG;18641020;-;-;-;887.9;0;11.6;-;-;-;-
ENG;18641021;-;-;-;887.2;3.5;7.6;-;-;-;-
ENG;18641022;-;-;-;884.4;5.3;11.6;-;-;-;-
ENG;18641023;-;-;-;887.6;17;7;-;-;-;-
ENG;18641024;-;-;-;887.8;0;4.5;-;-;-;-
ENG;18641025;-;-;-;885.8;0;10.1;-;-;-;-
ENG;18641026;-;-;-;880.4;1.4;12.5;-;-;-;-
ENG;18641027;-;-;-;886;46;8.4;-;-;-;-
ENG;18641028;-;-;-;882.8;0;10.7;-;-;-;-
ENG;18641029;-;-;-;882.4;0.1;5.1;-;-;-;-
ENG;18641030;-;-;-;892.6;1.5;5.6;-;-;-;-
ENG;18641031;-;-;-;899.9;1.6;3.5;-;-;-;-
ENG;18641101;-;-;-;902.1;0;2.8;-;-;-;-
ENG;18641102;-;-;-;899.6;0;7;-;-;-;-
ENG;18641103;-;-;-;898.6;0.5;6.8;-;-;-;-
ENG;18641104;-;-;-;905;13.7;2.6;-;-;-;-
ENG;18641105;-;-;-;902.8;0;2.6;-;-;-;-
ENG;18641106;-;-;-;900.9;4.8;-2;-;-;-;-
ENG;18641107;-;-;-;897.5;0.8;-4.2;-;-;-;-
ENG;18641108;-;-;-;894.6;0;-2.7;-;-;-;-
ENG;18641109;-;-;-;893.7;0;-3.5;-;-;-;-
ENG;18641110;-;-;-;894.3;0;-3.3;-;-;-;-
ENG;18641111;-;-;-;891.5;0;-1.8;-;-;-;-
ENG;18641112;-;-;-;893.5;0;0.3;-;-;-;-
ENG;18641113;-;-;-;889.7;0;0.1;-;-;-;-
ENG;18641114;-;-;-;877.3;0;4.9;-;-;-;-
ENG;18641115;-;-;-;873.2;2.5;1.1;-;-;-;-
ENG;18641116;-;-;-;879.3;0;2.3;-;-;-;-
ENG;18641117;-;-;-;890.3;1.9;1.7;-;-;-;-
ENG;18641118;-;-;-;893.1;0;3.2;-;-;-;-
ENG;18641119;-;-;-;898.2;12.1;-0.5;-;-;-;-
ENG;18641120;-;-;-;893.8;0;1.5;-;-;-;-
ENG;18641121;-;-;-;895.2;1.1;0.3;-;-;-;-
ENG;18641122;-;-;-;897.4;7.1;-0.6;-;-;-;-
ENG;18641123;-;-;-;895.4;1.2;0.7;-;-;-;-
ENG;18641124;-;-;-;881.8;0;3.7;-;-;-;-
ENG;18641125;-;-;-;883.6;24.7;-2.1;-;-;-;-
ENG;18641126;-;-;-;880.2;0;-0.1;-;-;-;-
ENG;18641127;-;-;-;894.6;7.2;-0.9;-;-;-;-
ENG;18641128;-;-;-;903.9;1.7;-4.8;-;-;-;-
ENG;18641129;-;-;-;908.2;0;-0.4;-;-;-;-
ENG;18641130;-;-;-;906.8;2.3;-3.9;-;-;-;-
ENG;18641201;-;-;-;902.6;0;-7.2;-;-;-;-
ENG;18641202;-;-;-;905.5;0;-4.6;-;-;-;-
ENG;18641203;-;-;-;908.6;0;-4.4;-;-;-;-
ENG;18641204;-;-;-;908.7;0;-8.7;-;-;-;-
ENG;18641205;-;-;-;904.5;0;-5.5;-;-;-;-
ENG;18641206;-;-;-;904.5;0;-3.4;-;-;-;-
ENG;18641207;-;-;-;901.6;0;-4.5;-;-;-;-
ENG;18641208;-;-;-;897;0;-1.9;-;-;-;-
ENG;18641209;-;-;-;897.4;0;-4.3;-;-;-;-
ENG;18641210;-;-;-;897.9;0;-1.4;-;-;-;-
ENG;18641211;-;-;-;898.5;0;-0.4;-;-;-;-
ENG;18641212;-;-;-;893.9;0;-0.6;-;-;-;-
ENG;18641213;-;-;-;886.4;0;-1.1;-;-;-;-
ENG;18641214;-;-;-;886.3;0;5.4;-;-;-;-
ENG;18641215;-;-;-;880.8;0;5.5;-;-;-;-
ENG;18641216;-;-;-;883.4;0.6;-2.8;-;-;-;-
ENG;18641217;-;-;-;891.6;1.6;-2.4;-;-;-;-
ENG;18641218;-;-;-;891.1;0;-4.2;-;-;-;-
ENG;18641219;-;-;-;898;0;-4;-;-;-;-
ENG;18641220;-;-;-;900.1;0;-2.5;-;-;-;-
ENG;18641221;-;-;-;896.8;1.5;-2.8;-;-;-;-
ENG;18641222;-;-;-;892.7;0;-3.7;-;-;-;-
ENG;18641223;-;-;-;895;0;-7.2;-;-;-;-
ENG;18641224;-;-;-;899.8;0;-9.1;-;-;-;-
ENG;18641225;-;-;-;899.5;0;-13.1;-;-;-;-
ENG;18641226;-;-;-;897.1;0;-10.5;-;-;-;-
ENG;18641227;-;-;-;895.4;0;-7.9;-;-;-;-
ENG;18641228;-;-;-;899.7;0;-9.8;-;-;-;-
ENG;18641229;-;-;-;903.8;0;-11.4;-;-;-;-
ENG;18641230;-;-;-;897.8;0;-2.4;-;-;-;-
ENG;18641231;-;-;-;889.9;0;-4.5;-;-;-;-
ENG;18650101;-;-;-;886.3;0;-4.8;-;-;-;-
ENG;18650102;-;-;-;888.7;0.9;-4.9;-;-;-;-
ENG;18650103;-;-;-;884.9;0;-5.6;-;-;-;-
ENG;18650104;-;-;-;899.7;0;-3.3;-;-;-;-
ENG;18650105;-;-;-;904.6;0;-0.4;-;-;-;-
ENG;18650106;-;-;-;899.3;0;0.8;-;-;-;-
ENG;18650107;-;-;-;906.7;10.9;-5.6;-;-;-;-
ENG;18650108;-;-;-;902.6;0;-2.7;-;-;-;-
ENG;18650109;-;-;-;899.5;0;1.9;-;-;-;-
ENG;18650110;-;-;-;900.9;0;-2;-;-;-;-
ENG;18650111;-;-;-;899.3;0;-2.3;-;-;-;-
ENG;18650112;-;-;-;890.9;0;3.9;-;-;-;-
ENG;18650113;-;-;-;883.7;0;2;-;-;-;-
ENG;18650114;-;-;-;877.9;7.9;3;-;-;-;-
ENG;18650115;-;-;-;879.5;11;-1;-;-;-;-
ENG;18650116;-;-;-;874.2;0;-4.3;-;-;-;-
ENG;18650117;-;-;-;873.2;1.9;-4;-;-;-;-
ENG;18650118;-;-;-;877.7;6.8;-6.3;-;-;-;-
ENG;18650119;-;-;-;884.5;0;-6.4;-;-;-;-
ENG;18650120;-;-;-;886.6;0.3;-5.2;-;-;-;-
ENG;18650121;-;-;-;885.6;14.4;0;-;-;-;-
ENG;18650122;-;-;-;884.7;7.8;1.7;-;-;-;-
ENG;18650123;-;-;-;892.6;4.4;-4.1;-;-;-;-
ENG;18650124;-;-;-;890.3;0;5.4;-;-;-;-
ENG;18650125;-;-;-;889.6;8.6;6.8;-;-;-;-
ENG;18650126;-;-;-;886.6;0;4.7;-;-;-;-
ENG;18650127;-;-;-;880.6;1.3;3.8;-;-;-;-
ENG;18650128;-;-;-;886.6;7.4;-3.3;-;-;-;-
ENG;18650129;-;-;-;893.6;0;-9.5;-;-;-;-
ENG;18650130;-;-;-;885.9;0;-2.3;-;-;-;-
ENG;18650131;-;-;-;883.7;0.2;-2.3;-;-;-;-
ENG;18650201;-;-;-;875.1;0;1.1;-;-;-;-
ENG;18650202;-;-;-;882.4;11.4;0.8;-;-;-;-
ENG;18650203;-;-;-;876.6;9.6;0.3;-;-;-;-
ENG;18650204;-;-;-;882.1;3.9;-0.1;-;-;-;-
ENG;18650205;-;-;-;887.4;0;-1.3;-;-;-;-
ENG;18650206;-;-;-;895.1;0;-3.1;-;-;-;-
ENG;18650207;-;-;-;897.2;0;-7.8;-;-;-;-
ENG;18650208;-;-;-;892.7;0;-1.7;-;-;-;-
ENG;18650209;-;-;-;890.3;14;-7.4;-;-;-;-
ENG;18650210;-;-;-;898;3.7;-12.7;-;-;-;-
ENG;18650211;-;-;-;897.3;2.2;-14.9;-;-;-;-
ENG;18650212;-;-;-;893.3;0;-16.7;-;-;-;-
ENG;18650213;-;-;-;894.8;0;-13.8;-;-;-;-
ENG;18650214;-;-;-;896.8;0;-9.8;-;-;-;-
ENG;18650215;-;-;-;893.5;0;-8.3;-;-;-;-
ENG;18650216;-;-;-;887.5;0;-4.2;-;-;-;-
ENG;18650217;-;-;-;886.4;0;-1.3;-;-;-;-
ENG;18650218;-;-;-;894;2.5;-0.1;-;-;-;-
ENG;18650219;-;-;-;890.4;7.9;0.5;-;-;-;-
ENG;18650220;-;-;-;893.3;8.1;-5.5;-;-;-;-
ENG;18650221;-;-;-;900.3;10.3;-7.8;-;-;-;-
ENG;18650222;-;-;-;903.6;3.9;-6.7;-;-;-;-
ENG;18650223;-;-;-;908.7;0;-6.9;-;-;-;-
ENG;18650224;-;-;-;899.9;0;-1.4;-;-;-;-
ENG;18650225;-;-;-;896.3;4.2;-0.9;-;-;-;-
