stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Durchschnittstemperatur;Relative Luftfeuchtigkeit (%);Sonnenscheindauer (min);Tiefsttemperatur;Maximaltemperatur
SMA;18640101;-;-;100;951.1;6.3;-0.8;94.3;-;-;-
SMA;18640102;-;-;100;962.4;4.5;-8;91.7;-;-;-
SMA;18640103;-;-;30;965;0.1;-11.1;92.7;-;-;-
SMA;18640104;-;-;93;965.5;0.2;-10.2;97.3;-;-;-
SMA;18640105;-;-;77;966.9;0;-11.3;95;-;-;-
SMA;18640106;-;-;100;966.7;0;-9.7;100;-;-;-
SMA;18640107;-;-;100;964.9;0;-8.1;98.3;-;-;-
SMA;18640108;-;-;100;965.6;0;-8;98;-;-;-
SMA;18640109;-;-;100;965.2;0;-7.9;100;-;-;-
SMA;18640110;-;-;80;967.1;0;-8.1;99;-;-;-
SMA;18640111;-;-;100;969.3;0;-7.8;96.7;-;-;-
SMA;18640112;-;-;100;972;0;-8.2;100;-;-;-
SMA;18640113;-;-;100;970.9;0;-9;100;-;-;-
SMA;18640114;-;-;100;968.8;0;-9.4;100;-;-;-
SMA;18640115;-;-;60;970.5;0;-10.9;95.3;-;-;-
SMA;18640116;-;-;70;972;0;-10.5;100;-;-;-
SMA;18640117;-;-;100;970.5;0;-9.4;99;-;-;-
SMA;18640118;-;-;100;970.6;0;-9.7;100;-;-;-
SMA;18640119;-;-;100;974.8;0;-7.7;96.3;-;-;-
SMA;18640120;-;-;50;975.7;0;-8.1;95;-;-;-
SMA;18640121;-;-;70;970.9;0;-5.4;95.3;-;-;-
SMA;18640122;-;-;33;970.7;0;-2.5;93;-;-;-
SMA;18640123;-;-;30;969.5;0;0.2;77.7;-;-;-
SMA;18640124;-;-;93;967.9;0;5.1;77.7;-;-;-
SMA;18640125;-;-;63;973.6;5.2;1.9;96;-;-;-
SMA;18640126;-;-;40;973.2;0;1.2;90.3;-;-;-
SMA;18640127;-;-;57;970.1;0;4.5;81;-;-;-
SMA;18640128;-;-;93;962.4;0.1;5.2;78.3;-;-;-
SMA;18640129;-;-;100;964.1;6.9;0.1;91;-;-;-
SMA;18640130;-;-;10;972.9;0.3;-4.8;87.7;-;-;-
SMA;18640131;-;-;7;971.3;0;-8.6;92.3;-;-;-
SMA;18640201;-;-;33;972.9;0;-5.1;91.3;-;-;-
SMA;18640202;-;-;33;973.4;0;-3.7;98;-;-;-
SMA;18640203;-;-;67;970.6;0;-2.9;91.3;-;-;-
SMA;18640204;-;-;93;963.8;7.1;-0.2;89.7;-;-;-
SMA;18640205;-;-;83;960.1;3.5;-2.3;91.3;-;-;-
SMA;18640206;-;-;97;952.1;0.4;-2.7;92;-;-;-
SMA;18640207;-;-;-;951.2;0.2;-3.3;93;-;-;-
SMA;18640208;-;-;83;949;2.7;-5.7;95;-;-;-
SMA;18640209;-;-;43;947.1;0.2;-6.4;81.3;-;-;-
SMA;18640210;-;-;40;944.4;0;-6.2;91;-;-;-
SMA;18640211;-;-;43;949.7;0;-6;91.3;-;-;-
SMA;18640212;-;-;87;962;0;-4.8;91.7;-;-;-
SMA;18640213;-;-;87;968.2;7.4;3.4;86.3;-;-;-
SMA;18640214;-;-;30;973.3;0;4.2;88;-;-;-
SMA;18640215;-;-;33;967;0;3.5;83.3;-;-;-
SMA;18640216;-;-;80;959.8;0;6.8;81.7;-;-;-
SMA;18640217;-;-;87;953.5;6.7;1.9;84.7;-;-;-
SMA;18640218;-;-;80;955.9;3.5;-1.9;95.3;-;-;-
SMA;18640219;-;-;30;957.1;0.1;-6.4;84.3;-;-;-
SMA;18640220;-;-;70;950.4;0;-6.1;85.3;-;-;-
SMA;18640221;-;-;47;940.7;0;-2.4;89.7;-;-;-
SMA;18640222;-;-;50;952.4;0;1.3;72;-;-;-
SMA;18640223;-;-;37;953.2;0;1.8;85.3;-;-;-
SMA;18640224;-;-;73;956.3;0;3.1;89;-;-;-
SMA;18640225;-;-;17;956.4;0;3.6;89;-;-;-
SMA;18640226;-;-;17;956.2;0;4.8;86.3;-;-;-
SMA;18640227;-;-;83;954.7;0;3.9;88;-;-;-
SMA;18640228;-;-;43;952.5;0;5.7;79.3;-;-;-
SMA;18640229;-;-;97;949;0;3.7;90.3;-;-;-
SMA;18640301;-;-;63;958.9;3.2;2.8;90;-;-;-
SMA;18640302;-;-;67;955.9;0;2.6;81.7;-;-;-
SMA;18640303;-;-;70;955.7;2;6.1;79.3;-;-;-
SMA;18640304;-;-;17;953;0.5;7.9;73;-;-;-
SMA;18640305;-;-;73;944;0.5;9.1;77;-;-;-
SMA;18640306;-;-;83;945.4;3.5;8.9;72.7;-;-;-
SMA;18640307;-;-;43;948.6;0.1;10;71.3;-;-;-
SMA;18640308;-;-;47;946.1;0;9.5;71;-;-;-
SMA;18640309;-;-;90;943.2;1.4;7.7;81;-;-;-
SMA;18640310;-;-;90;956.9;11.7;3.7;85.7;-;-;-
SMA;18640311;-;-;3;964.2;0;3.8;73.7;-;-;-
SMA;18640312;-;-;53;966.9;2.5;5.2;81;-;-;-
SMA;18640313;-;-;10;971.7;0;3.5;78.7;-;-;-
SMA;18640314;-;-;7;968.4;0;3.5;75;-;-;-
SMA;18640315;-;-;10;961.2;0;7.4;69;-;-;-
SMA;18640316;-;-;57;960.3;0;4.7;83.7;-;-;-
SMA;18640317;-;-;10;962.5;0.4;2;71.7;-;-;-
SMA;18640318;-;-;10;956.4;0;2;79;-;-;-
SMA;18640319;-;-;7;951.7;0;5.7;75;-;-;-
SMA;18640320;-;-;7;948.8;0;6.9;74.3;-;-;-
SMA;18640321;-;-;20;944.5;0;8.3;68.7;-;-;-
SMA;18640322;-;-;87;945;1.1;6.9;92.7;-;-;-
SMA;18640323;-;-;70;949.6;11;4.9;89;-;-;-
SMA;18640324;-;-;20;954.6;0.4;4.7;74.3;-;-;-
SMA;18640325;-;-;43;951.5;0;5.8;84;-;-;-
SMA;18640326;-;-;93;944.9;1.1;6.6;84.3;-;-;-
SMA;18640327;-;-;57;937;0.1;6.9;80.7;-;-;-
SMA;18640328;-;-;100;939;8.2;3.1;83.3;-;-;-
SMA;18640329;-;-;70;933.8;1;1.5;86.7;-;-;-
SMA;18640330;-;-;90;945.4;0;1.7;86.3;-;-;-
SMA;18640331;-;-;77;958.1;3.2;4.1;79;-;-;-
SMA;18640401;-;-;57;958;0;7.1;72.3;-;-;-
SMA;18640402;-;-;57;957.2;4.8;3.7;79;-;-;-
SMA;18640403;-;-;70;961.9;0;4.6;73.7;-;-;-
SMA;18640404;-;-;100;959.8;0;7.3;87.7;-;-;-
SMA;18640405;-;-;77;961.9;19.2;4.6;95;-;-;-
SMA;18640406;-;-;17;964.3;1;3.4;79;-;-;-
SMA;18640407;-;-;33;964.9;0;2;68.7;-;-;-
SMA;18640408;-;-;7;967.7;0;-0.8;92.3;-;-;-
SMA;18640409;-;-;30;963.3;0;3;80.7;-;-;-
SMA;18640410;-;-;47;960.1;0;6.1;73;-;-;-
SMA;18640411;-;-;57;959.3;0;8;79;-;-;-
SMA;18640412;-;-;7;959.2;0;9.1;71;-;-;-
SMA;18640413;-;-;17;958.2;0;9.9;68;-;-;-
SMA;18640414;-;-;0;955.8;0;7.9;56;-;-;-
SMA;18640415;-;-;3;954.3;0;8.4;63.3;-;-;-
SMA;18640416;-;-;70;953.8;0;8.1;72;-;-;-
SMA;18640417;-;-;73;957.6;10.8;5.9;86.3;-;-;-
SMA;18640418;-;-;10;964.6;0.5;7.2;76.3;-;-;-
SMA;18640419;-;-;0;963.4;0;10.2;66.3;-;-;-
SMA;18640420;-;-;10;961.5;0;10.5;62.3;-;-;-
SMA;18640421;-;-;30;958.4;0;8;67.7;-;-;-
SMA;18640422;-;-;13;962;0;8.6;65.3;-;-;-
SMA;18640423;-;-;3;965.9;0;9.9;67;-;-;-
SMA;18640424;-;-;0;963.9;0;12.9;62.3;-;-;-
SMA;18640425;-;-;7;963.8;0;13.6;67.3;-;-;-
SMA;18640426;-;-;23;963.4;0;14.8;70.7;-;-;-
SMA;18640427;-;-;40;962.7;0;14.6;75;-;-;-
SMA;18640428;-;-;80;960.6;1;12;89.3;-;-;-
SMA;18640429;-;-;80;958.2;5.9;9.6;87.3;-;-;-
SMA;18640430;-;-;50;962.5;10.9;8.8;74.7;-;-;-
SMA;18640501;-;-;40;964.8;0;9.1;69;-;-;-
SMA;18640502;-;-;63;959.8;0;9.3;73.7;-;-;-
SMA;18640503;-;-;100;950.9;10.4;10.4;88;-;-;-
SMA;18640504;-;-;97;958.3;4.9;6.2;86.3;-;-;-
SMA;18640505;-;-;77;960.4;18.6;6.2;95;-;-;-
SMA;18640506;-;-;37;960.8;0;10.7;85.7;-;-;-
SMA;18640507;-;-;23;956.3;0;15.1;78;-;-;-
SMA;18640508;-;-;53;950.6;2.1;16.8;78;-;-;-
SMA;18640509;-;-;70;950.4;0.2;15.8;82.3;-;-;-
SMA;18640510;-;-;77;955.8;1.6;13.2;82;-;-;-
SMA;18640511;-;-;50;955.5;0;13.4;84.3;-;-;-
SMA;18640512;-;-;73;952;0;12.9;90.3;-;-;-
SMA;18640513;-;-;93;957.4;5;11.8;94.7;-;-;-
SMA;18640514;-;-;83;961.1;33;13.8;90.7;-;-;-
SMA;18640515;-;-;63;961.9;11;14.9;86.7;-;-;-
SMA;18640516;-;-;37;961.8;0;17.2;79.7;-;-;-
SMA;18640517;-;-;10;964.8;0;19.5;74;-;-;-
SMA;18640518;-;-;7;965.4;0;19.8;74.3;-;-;-
SMA;18640519;-;-;17;963.9;0;18.5;77;-;-;-
SMA;18640520;-;-;3;962.2;0.6;18;71.7;-;-;-
SMA;18640521;-;-;40;956.1;0;17.1;76;-;-;-
SMA;18640522;-;-;53;958.5;2.1;15.4;77.7;-;-;-
SMA;18640523;-;-;77;958.5;0;14;81;-;-;-
SMA;18640524;-;-;13;963.4;1.3;9.1;75.7;-;-;-
SMA;18640525;-;-;10;959;0;13;76.7;-;-;-
SMA;18640526;-;-;33;953.6;0;12;67.7;-;-;-
SMA;18640527;-;-;43;956.4;0;9.8;70;-;-;-
SMA;18640528;-;-;23;959.1;0;12.2;81;-;-;-
SMA;18640529;-;-;30;958.8;0;14;81.7;-;-;-
SMA;18640530;-;-;40;959.3;0;14.1;79.7;-;-;-
SMA;18640531;-;-;50;956.4;0;17.2;77.3;-;-;-
SMA;18640601;-;-;73;955.5;2.9;18.9;81;-;-;-
SMA;18640602;-;-;93;953;1.5;16.5;90;-;-;-
SMA;18640603;-;-;67;957.8;12.1;16.4;84.3;-;-;-
SMA;18640604;-;-;60;958.5;0;17.8;85;-;-;-
SMA;18640605;-;-;57;961.6;13.4;16.7;92.7;-;-;-
SMA;18640606;-;-;30;962;3.6;18.2;89.7;-;-;-
SMA;18640607;-;-;70;955.7;0;17.5;86.7;-;-;-
SMA;18640608;-;-;87;958;0.5;16;82;-;-;-
SMA;18640609;-;-;87;956.4;0.4;14.9;88;-;-;-
SMA;18640610;-;-;100;954.7;19;10.1;91.7;-;-;-
SMA;18640611;-;-;90;960;28.5;11.7;92.3;-;-;-
SMA;18640612;-;-;43;953.7;0;15.7;85.7;-;-;-
SMA;18640613;-;-;60;953;0;18.1;79.3;-;-;-
SMA;18640614;-;-;67;951.2;0;18;83.7;-;-;-
SMA;18640615;-;-;97;955.1;2.8;13.4;90;-;-;-
SMA;18640616;-;-;80;960.8;8.2;13.1;84;-;-;-
SMA;18640617;-;-;90;967.7;24.2;12.7;93.7;-;-;-
SMA;18640618;-;-;57;967.6;3.1;16.8;86.7;-;-;-
SMA;18640619;-;-;90;969.3;0.1;15;85.7;-;-;-
SMA;18640620;-;-;17;970.3;0;16.7;73.3;-;-;-
SMA;18640621;-;-;7;966.6;0;18.7;80.7;-;-;-
SMA;18640622;-;-;43;966.8;0;19.5;79.7;-;-;-
SMA;18640623;-;-;27;964.5;0;20.5;80;-;-;-
SMA;18640624;-;-;63;968.2;0;16.3;78.3;-;-;-
SMA;18640625;-;-;37;967.6;0;17.8;77.7;-;-;-
SMA;18640626;-;-;77;960.7;0.1;18;77.7;-;-;-
SMA;18640627;-;-;87;958.9;23.3;10.9;96;-;-;-
SMA;18640628;-;-;63;965.2;29.3;11.4;78;-;-;-
SMA;18640629;-;-;63;966.2;0;14.5;81.7;-;-;-
SMA;18640630;-;-;77;960.5;0;14.8;92;-;-;-
SMA;18640701;-;-;83;959.7;6.4;14.3;78;-;-;-
SMA;18640702;-;-;10;959.8;0;16.2;75.7;-;-;-
SMA;18640703;-;-;53;956.6;0;17.4;84.3;-;-;-
SMA;18640704;-;-;90;962.7;12.8;14;87.3;-;-;-
SMA;18640705;-;-;20;963.4;0;15.2;79.3;-;-;-
SMA;18640706;-;-;50;961.5;0;16.7;69;-;-;-
SMA;18640707;-;-;77;962.6;0;14.3;71.7;-;-;-
SMA;18640708;-;-;80;962.6;0;14.4;76.3;-;-;-
SMA;18640709;-;-;33;959.4;1.6;16.5;76.3;-;-;-
SMA;18640710;-;-;50;960;0;17;77;-;-;-
SMA;18640711;-;-;43;962;0;19.7;80;-;-;-
SMA;18640712;-;-;27;959.6;0;22.1;81.3;-;-;-
SMA;18640713;-;-;83;956;4.9;17.7;91.3;-;-;-
SMA;18640714;-;-;57;961.2;4;17;93;-;-;-
SMA;18640715;-;-;10;962.9;1.5;18.1;78.7;-;-;-
SMA;18640716;-;-;37;963.2;0;21;75;-;-;-
SMA;18640717;-;-;43;963.4;2.4;19.3;85.3;-;-;-
SMA;18640718;-;-;57;960.5;0.8;17.8;83;-;-;-
SMA;18640719;-;-;73;961.7;3.4;18;78.3;-;-;-
SMA;18640720;-;-;43;964.4;0;17.8;80.3;-;-;-
SMA;18640721;-;-;7;960.6;0;20.3;75;-;-;-
SMA;18640722;-;-;80;961.5;4.6;18.1;87;-;-;-
SMA;18640723;-;-;100;963.9;2;17.6;85.7;-;-;-
SMA;18640724;-;-;50;961.8;0;19.9;82.3;-;-;-
SMA;18640725;-;-;60;958.4;0.8;19.6;86.7;-;-;-
SMA;18640726;-;-;93;959.2;8.3;17.1;94.7;-;-;-
SMA;18640727;-;-;27;961.2;18.1;19.2;81;-;-;-
SMA;18640728;-;-;10;960.2;0;20.3;81.7;-;-;-
SMA;18640729;-;-;50;963.9;15.2;19.9;87;-;-;-
SMA;18640730;-;-;20;968.3;0;21.7;78.7;-;-;-
SMA;18640731;-;-;10;969.3;0;20.7;85;-;-;-
SMA;18640801;-;-;3;964.4;0;22.4;81;-;-;-
SMA;18640802;-;-;63;962.4;0.2;18.1;89.3;-;-;-
SMA;18640803;-;-;17;963.4;0;16.5;84;-;-;-
SMA;18640804;-;-;3;963.9;0;18.5;82.7;-;-;-
SMA;18640805;-;-;7;966.9;0;19.4;81.3;-;-;-
SMA;18640806;-;-;10;963.1;0;22.2;75.7;-;-;-
SMA;18640807;-;-;27;960.6;0;22.2;73.7;-;-;-
SMA;18640808;-;-;13;960.8;0;21.2;72.3;-;-;-
SMA;18640809;-;-;17;960.2;0;22;79.3;-;-;-
SMA;18640810;-;-;77;961.2;0.9;15.9;76.3;-;-;-
SMA;18640811;-;-;80;966.1;3.5;11.5;85;-;-;-
SMA;18640812;-;-;37;970.5;0.6;12.5;73.7;-;-;-
SMA;18640813;-;-;7;968.4;0;13.3;74.3;-;-;-
SMA;18640814;-;-;53;969.1;0;13.2;73.3;-;-;-
SMA;18640815;-;-;47;967;0;14.2;80;-;-;-
SMA;18640816;-;-;10;963.6;0;17.6;84.3;-;-;-
SMA;18640817;-;-;27;958.5;0;19.5;82.7;-;-;-
SMA;18640818;-;-;77;955.9;0;16.7;85.7;-;-;-
SMA;18640819;-;-;80;951.9;2.1;17.1;93.3;-;-;-
SMA;18640820;-;-;83;953.6;23.1;17.7;77.7;-;-;-
SMA;18640821;-;-;20;960.6;0.2;17.3;80.7;-;-;-
SMA;18640822;-;-;27;957;0;19.7;83.7;-;-;-
SMA;18640823;-;-;73;950;0.4;19.2;86;-;-;-
SMA;18640824;-;-;93;960.3;1.4;10.6;80;-;-;-
SMA;18640825;-;-;33;967.8;0;11;68.7;-;-;-
SMA;18640826;-;-;70;966.3;0;11.2;83;-;-;-
SMA;18640827;-;-;90;968;3.4;9.9;90.3;-;-;-
SMA;18640828;-;-;30;968.3;2.4;10.1;86.3;-;-;-
SMA;18640829;-;-;7;966.4;0;11.9;85.3;-;-;-
SMA;18640830;-;-;17;965.6;0;14.9;84.3;-;-;-
SMA;18640831;-;-;10;965.5;0;17.3;80;-;-;-
SMA;18640901;-;-;83;965;1.2;18.3;86.7;-;-;-
SMA;18640902;-;-;90;962.1;4;15.3;85.3;-;-;-
SMA;18640903;-;-;77;957.7;0.5;15.1;84.7;-;-;-
SMA;18640904;-;-;93;957.6;5.4;13.5;87;-;-;-
SMA;18640905;-;-;70;965.9;0.6;15.3;80.3;-;-;-
SMA;18640906;-;-;87;967.2;0.2;16.7;80;-;-;-
SMA;18640907;-;-;53;966.3;0;18.8;78.3;-;-;-
SMA;18640908;-;-;40;967.4;0;17.5;86.7;-;-;-
SMA;18640909;-;-;7;966.5;0;18.5;86.7;-;-;-
SMA;18640910;-;-;7;963;0;19;80.7;-;-;-
SMA;18640911;-;-;87;959.8;0;15;85;-;-;-
SMA;18640912;-;-;97;963.3;45.8;9.5;95.3;-;-;-
SMA;18640913;-;-;47;964.3;4.3;12.9;86;-;-;-
SMA;18640914;-;-;37;961.9;0;9.6;95.3;-;-;-
SMA;18640915;-;-;43;958;0;13.3;85;-;-;-
SMA;18640916;-;-;43;953.5;0;17.2;76;-;-;-
SMA;18640917;-;-;37;952.8;0;16.5;82.7;-;-;-
SMA;18640918;-;-;100;957.4;2.4;13.3;87.3;-;-;-
SMA;18640919;-;-;90;958.8;0;11.9;90.7;-;-;-
SMA;18640920;-;-;47;960.5;14.4;10.6;87;-;-;-
SMA;18640921;-;-;13;961;0;9.2;89;-;-;-
SMA;18640922;-;-;13;961.1;0;12.7;86.7;-;-;-
SMA;18640923;-;-;50;965.5;1.4;14.2;84;-;-;-
SMA;18640924;-;-;3;968.6;0;12.1;89.7;-;-;-
SMA;18640925;-;-;17;970.4;0;12.9;81.3;-;-;-
SMA;18640926;-;-;10;970.7;0;12.3;78;-;-;-
SMA;18640927;-;-;7;969;0;10.2;73;-;-;-
SMA;18640928;-;-;0;968.9;0;9;82.7;-;-;-
SMA;18640929;-;-;10;963.3;0;13.7;84.3;-;-;-
SMA;18640930;-;-;53;959.8;0;12.4;79;-;-;-
SMA;18641001;-;-;7;958.9;0;9;76.7;-;-;-
SMA;18641002;-;-;33;961.3;0;7.6;73.3;-;-;-
SMA;18641003;-;-;10;963.4;0;5.4;72;-;-;-
SMA;18641004;-;-;60;961;0;3.4;79.3;-;-;-
SMA;18641005;-;-;47;960.1;0;3.3;86;-;-;-
SMA;18641006;-;-;90;961.9;0;2.8;90;-;-;-
SMA;18641007;-;-;67;964.2;0;2.7;90.7;-;-;-
SMA;18641008;-;-;33;963.3;0;4.4;77;-;-;-
SMA;18641009;-;-;100;960.3;0.2;3.6;94.7;-;-;-
SMA;18641010;-;-;93;960.8;0;6.4;79.3;-;-;-
SMA;18641011;-;-;47;963.5;0;7.2;74.7;-;-;-
SMA;18641012;-;-;73;963.2;0;8.3;78.7;-;-;-
SMA;18641013;-;-;97;960.8;0.8;9.2;84;-;-;-
SMA;18641014;-;-;90;959.1;0;7.5;85.3;-;-;-
SMA;18641015;-;-;77;960.1;0.1;5.9;81.3;-;-;-
SMA;18641016;-;-;40;961.1;0.3;3.5;91.7;-;-;-
SMA;18641017;-;-;10;958.6;0;5.5;85.3;-;-;-
SMA;18641018;-;-;10;958.4;0;10.9;75;-;-;-
SMA;18641019;-;-;33;950.8;0;14.2;87;-;-;-
SMA;18641020;-;-;80;947.9;0;13.8;79.3;-;-;-
SMA;18641021;-;-;100;947.9;0.8;10.6;90;-;-;-
SMA;18641022;-;-;40;944.4;0.6;12.2;82.7;-;-;-
SMA;18641023;-;-;57;947.9;10.8;10.7;77.3;-;-;-
SMA;18641024;-;-;67;948.2;1.6;8.8;93.7;-;-;-
SMA;18641025;-;-;67;946.9;0.5;8.1;92;-;-;-
SMA;18641026;-;-;43;939.1;0;12.6;84;-;-;-
SMA;18641027;-;-;43;946.5;2.2;11.2;76;-;-;-
SMA;18641028;-;-;67;943.2;0;8.6;86;-;-;-
SMA;18641029;-;-;100;943.3;0;7.8;94.3;-;-;-
SMA;18641030;-;-;83;953.6;0;8.3;93.3;-;-;-
SMA;18641031;-;-;97;962.6;0;5.9;87.3;-;-;-
SMA;18641101;-;-;100;964.7;0;6.9;88;-;-;-
SMA;18641102;-;-;100;961.1;0.1;8.5;93.3;-;-;-
SMA;18641103;-;-;100;960.4;0;8;94;-;-;-
SMA;18641104;-;-;100;968.9;10.7;4.7;87;-;-;-
SMA;18641105;-;-;70;965.7;0;4.1;89;-;-;-
SMA;18641106;-;-;90;966.6;1;1.6;76.7;-;-;-
SMA;18641107;-;-;100;962.9;0;-1.9;91.7;-;-;-
SMA;18641108;-;-;37;958.5;0;-0.8;88;-;-;-
SMA;18641109;-;-;70;957.7;0;-0.6;92;-;-;-
SMA;18641110;-;-;100;957.6;0;0.6;84;-;-;-
SMA;18641111;-;-;100;955.1;0;0.4;87.3;-;-;-
SMA;18641112;-;-;97;956;0;2.3;79.3;-;-;-
SMA;18641113;-;-;70;951.7;0;3.7;92;-;-;-
SMA;18641114;-;-;90;937;0.1;6.9;81.7;-;-;-
SMA;18641115;-;-;70;933.6;0.5;6.6;77;-;-;-
SMA;18641116;-;-;97;940.1;3.4;6.3;84;-;-;-
SMA;18641117;-;-;50;952.4;1.4;5.5;89;-;-;-
SMA;18641118;-;-;100;955;2.6;5.7;92.3;-;-;-
SMA;18641119;-;-;33;959.7;5.5;3.9;89.3;-;-;-
SMA;18641120;-;-;70;956;0;2.6;88.7;-;-;-
SMA;18641121;-;-;100;957.7;8.8;3.8;94.3;-;-;-
SMA;18641122;-;-;73;960.1;12.1;4.5;96;-;-;-
SMA;18641123;-;-;67;957.8;6.8;5.3;86.7;-;-;-
SMA;18641124;-;-;63;942.5;0.3;4.5;87.3;-;-;-
SMA;18641125;-;-;70;945.3;16.6;2.1;96;-;-;-
SMA;18641126;-;-;100;941.2;3.6;3.4;84.7;-;-;-
SMA;18641127;-;-;100;957.2;4.9;3;90.3;-;-;-
SMA;18641128;-;-;100;967.7;1;-0.3;96.7;-;-;-
SMA;18641129;-;-;70;972.1;0.3;1.1;87.3;-;-;-
SMA;18641130;-;-;60;971.5;0;0.9;90.7;-;-;-
SMA;18641201;-;-;100;966.7;0;0.6;87.7;-;-;-
SMA;18641202;-;-;100;970.5;0.4;0.4;90;-;-;-
SMA;18641203;-;-;70;974.1;0;-0.6;95.7;-;-;-
SMA;18641204;-;-;43;974.1;0;-3.4;95.3;-;-;-
SMA;18641205;-;-;100;968.9;0;-5.2;97.7;-;-;-
SMA;18641206;-;-;77;968.4;0;-3;100;-;-;-
SMA;18641207;-;-;100;966.2;0;-5.4;100;-;-;-
SMA;18641208;-;-;93;959.9;0;-3.8;98.7;-;-;-
SMA;18641209;-;-;53;960.3;0;-2.3;93.3;-;-;-
SMA;18641210;-;-;100;961.4;0;-3.4;98.7;-;-;-
SMA;18641211;-;-;100;962.2;0;-4.3;98.3;-;-;-
SMA;18641212;-;-;97;957.2;0;-4;97;-;-;-
SMA;18641213;-;-;100;950.1;0;-3.8;96.3;-;-;-
SMA;18641214;-;-;97;949.9;0;-2.9;98.7;-;-;-
SMA;18641215;-;-;80;942.9;0;-0.3;88.3;-;-;-
SMA;18641216;-;-;100;946.3;1.2;-1.4;96.3;-;-;-
SMA;18641217;-;-;70;954.7;0.5;-0.6;91;-;-;-
SMA;18641218;-;-;100;954.7;0;-0.8;96;-;-;-
SMA;18641219;-;-;97;961.4;0;0.2;92;-;-;-
SMA;18641220;-;-;100;963.7;0;1.5;88.7;-;-;-
SMA;18641221;-;-;100;959.6;1.6;2.4;88.3;-;-;-
SMA;18641222;-;-;100;956.5;0;-0.2;99;-;-;-
SMA;18641223;-;-;100;960.9;0;-4.9;94.3;-;-;-
SMA;18641224;-;-;100;966.4;0;-7.9;97.3;-;-;-
SMA;18641225;-;-;100;966.3;0;-9.6;99;-;-;-
SMA;18641226;-;-;100;963.2;0;-9.2;98.3;-;-;-
SMA;18641227;-;-;67;961.2;0;-9;100;-;-;-
SMA;18641228;-;-;100;966.2;0;-7.1;95.7;-;-;-
SMA;18641229;-;-;100;969.8;0;-5.5;99;-;-;-
SMA;18641230;-;-;50;961.4;0;-5.4;98.7;-;-;-
SMA;18641231;-;-;70;953.1;0;-5.2;96.7;-;-;-
SMA;18650101;-;-;100;949.5;0;-4;98.3;-;-;-
SMA;18650102;-;-;100;951.6;0;-2.5;96.7;-;-;-
SMA;18650103;-;-;93;948.1;0;-3.8;97;-;-;-
SMA;18650104;-;-;87;963.6;0;-2.5;95.7;-;-;-
SMA;18650105;-;-;90;968.2;0;3.2;66.3;-;-;-
SMA;18650106;-;-;90;961.6;0.5;4;71.3;-;-;-
SMA;18650107;-;-;70;970.3;0;-0.3;81.7;-;-;-
SMA;18650108;-;-;27;966;0;-3.9;90;-;-;-
SMA;18650109;-;-;57;961.8;0;3.2;68;-;-;-
SMA;18650110;-;-;90;963.7;0;2.5;96.7;-;-;-
SMA;18650111;-;-;93;962.2;0;0.2;96.7;-;-;-
SMA;18650112;-;-;77;952.8;0;0.5;90.3;-;-;-
SMA;18650113;-;-;67;943.8;0;2.7;76;-;-;-
SMA;18650114;-;-;100;938.4;9;4.4;82;-;-;-
SMA;18650115;-;-;93;941.1;1.1;0.7;95;-;-;-
SMA;18650116;-;-;77;935.7;2.2;0.4;86.7;-;-;-
SMA;18650117;-;-;93;934.8;0;-0.1;90.3;-;-;-
SMA;18650118;-;-;70;940.1;1.5;-0.7;93;-;-;-
SMA;18650119;-;-;57;947.3;1.8;-0.8;89.7;-;-;-
SMA;18650120;-;-;87;949.5;0.5;-1.2;98;-;-;-
SMA;18650121;-;-;100;947.8;17.6;1.2;82.3;-;-;-
SMA;18650122;-;-;90;946;8.6;4.4;82;-;-;-
SMA;18650123;-;-;50;956.1;0.4;-1;80;-;-;-
SMA;18650124;-;-;83;951.8;0.1;3.9;73.3;-;-;-
SMA;18650125;-;-;77;950.2;1.5;6.2;83.3;-;-;-
SMA;18650126;-;-;90;946.3;6.6;7.4;86;-;-;-
SMA;18650127;-;-;67;940.4;6.3;8.7;83.3;-;-;-
SMA;18650128;-;-;87;949.6;0.6;0.1;94.7;-;-;-
SMA;18650129;-;-;7;956.9;0;-4.4;93.7;-;-;-
SMA;18650130;-;-;73;948.3;0.2;-1.4;86.3;-;-;-
SMA;18650131;-;-;73;945.6;0;1;85;-;-;-
SMA;18650201;-;-;97;935.7;4.1;3.4;82.7;-;-;-
SMA;18650202;-;-;77;943.2;5;4.3;78.7;-;-;-
SMA;18650203;-;-;83;937.1;5;3;92.3;-;-;-
SMA;18650204;-;-;100;943.3;7;3.3;91;-;-;-
SMA;18650205;-;-;87;951.5;8.4;1.8;94.7;-;-;-
SMA;18650206;-;-;100;958.9;0;-0.8;93.3;-;-;-
SMA;18650207;-;-;90;961.3;0;-1.7;97.3;-;-;-
SMA;18650208;-;-;87;955.3;0;0.8;73.7;-;-;-
SMA;18650209;-;-;97;954.3;9.7;-3.4;89.7;-;-;-
SMA;18650210;-;-;70;964.3;1.4;-9.2;98.3;-;-;-
SMA;18650211;-;-;53;964.9;1.3;-12.1;97.7;-;-;-
SMA;18650212;-;-;80;960;0;-11.1;96;-;-;-
SMA;18650213;-;-;67;960.6;0;-11;97.7;-;-;-
